gene_callers_id	source	accession	function	e_value
87	COG20_FUNCTION	COG0110	Acetyltransferase, isoleucine patch superfamily (WbbJ)	2.3e-24
87	COG20_CATEGORY	R	General function prediction only	0
88	COG20_FUNCTION	COG0463!!!COG4627	Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Predicted SAM-depedendent methyltransferase	1.4e-98
88	COG20_CATEGORY	M!!!R	Cell wall/membrane/envelope biogenesis!!!General function prediction only	0
92	COG20_FUNCTION	COG0438!!!COG0463	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	9.8e-83
92	COG20_CATEGORY	M!!!M	Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis	0
96	COG20_FUNCTION	COG1089	GDP-D-mannose dehydratase (Gmd) (PDB:1DB3)	2.5e-210
96	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
101	COG20_FUNCTION	COG4584	Transposase	2.6e-178
101	COG20_CATEGORY	X	Mobilome: prophages, transposons	0
102	COG20_FUNCTION	COG1484	DNA replication protein DnaC (DnaC) (PDB:2QGZ)	8.1e-80
102	COG20_CATEGORY	L	Replication, recombination and repair	0
105	COG20_FUNCTION	COG1752	Predicted acylesterase/phospholipase RssA, containd patatin domain (RssA) (PDB:5FQU)	2.8e-298
105	COG20_CATEGORY	R	General function prediction only	0
106	COG20_FUNCTION	COG1404	Serine protease, subtilisin family (AprE) (PDB:1SCJ)	4.8e-302
106	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
108	COG20_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)	1e-172
108	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
109	COG20_FUNCTION	COG1051	ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)	1.7e-72
109	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
111	COG20_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)	1.1e-142
111	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
113	COG20_FUNCTION	COG1209	dTDP-glucose pyrophosphorylase (RmlA1) (PDB:1FXO)	2.3e-166
113	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
114	COG20_FUNCTION	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme (RfbC) (PDB:1DZR)	3.5e-43
114	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
115	COG20_FUNCTION	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	6.6e-68
115	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
116	COG20_FUNCTION	COG1252	NADH dehydrogenase, FAD-containing subunit (Ndh) (PDB:5NA4)	2e-208
116	COG20_CATEGORY	C	Energy production and conversion	0
117	COG20_FUNCTION	COG2353	Polyisoprenoid-binding periplasmic protein YceI (YceI) (PDB:1WUB) (PUBMED:15741337;20236316)	9.1e-84
117	COG20_CATEGORY	R	General function prediction only	0
118	COG20_FUNCTION	COG3038	Cytochrome b561 (CybB) (PDB:5OC0)	5.2e-70
118	COG20_CATEGORY	C	Energy production and conversion	0
120	COG20_FUNCTION	COG2524	Predicted transcriptional regulator, contains C-terminal CBS domains	4.3e-30
120	COG20_CATEGORY	K	Transcription	0
123	COG20_FUNCTION	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	4.5e-88
123	COG20_CATEGORY	H!!!R	Coenzyme transport and metabolism!!!General function prediction only	0
123	COG20_PATHWAY	COG0596	Menaquinone biosynthesis	4.5e-88
124	COG20_FUNCTION	COG1186	Protein chain release factor PrfB (PrfB) (PDB:1GQE)	1.4e-41
124	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
124	COG20_PATHWAY	COG1186	Translation factors	1.4e-41
128	COG20_FUNCTION	COG1404	Serine protease, subtilisin family (AprE) (PDB:1SCJ)	2.3e-105
128	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
129	COG20_FUNCTION	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	7e-61
129	COG20_CATEGORY	K	Transcription	0
129	COG20_PATHWAY	COG1595	RNA polymerase	7e-61
132	COG20_FUNCTION	COG3237	Uncharacterized conserved protein YjbJ, UPF0337 family (yjbJ) (PDB:1RYK)	7e-09
132	COG20_CATEGORY	S	Function unknown	0
133	COG20_FUNCTION	COG2375	NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains (ViuB) (PDB:2GPJ)	7e-87
133	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
135	COG20_FUNCTION	COG1033	Predicted exporter protein, RND superfamily (MMPL) (PDB:5KHN)	0
135	COG20_CATEGORY	R	General function prediction only	0
136	COG20_FUNCTION	COG2834	Outer membrane lipoprotein-sorting protein (LolA) (PDB:1IWL)	7.2e-43
136	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
139	COG20_FUNCTION	COG2503	Predicted secreted acid phosphatase (PDB:3OCY)	3.6e-81
139	COG20_CATEGORY	R	General function prediction only	0
140	COG20_FUNCTION	COG4319	Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF)	1.1e-43
140	COG20_CATEGORY	R	General function prediction only	0
142	COG20_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	1.3e-129
142	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
143	COG20_FUNCTION	COG2227!!!COG4627	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)!!!Predicted SAM-depedendent methyltransferase	4.2e-178
143	COG20_CATEGORY	H!!!R	Coenzyme transport and metabolism!!!General function prediction only	0
143	COG20_PATHWAY	COG2227!!!COG4627	Ubiquinone biosynthesis	4.2e-178
145	COG20_FUNCTION	COG0562	UDP-galactopyranose mutase (Glf) (PDB:1I8T)	1.1e-173
145	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
146	COG20_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	3.2e-126
146	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
147	COG20_FUNCTION	COG3436	Transposase	1.7e-53
147	COG20_CATEGORY	X	Mobilome: prophages, transposons	0
148	COG20_FUNCTION	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase (WecE) (PDB:4PIW) (PUBMED:15271350)	1e-144
148	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
149	COG20_FUNCTION	COG2152	Predicted glycosyl hydrolase, GH43/DUF377 family (PDB:1VKD)	1.7e-47
149	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
150	COG20_FUNCTION	COG1043	Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase (LpxA) (PDB:1J2Z)	4.4e-58
150	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
150	COG20_PATHWAY	COG1043	Lipid A biosynthesis	4.4e-58
151	COG20_FUNCTION	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases (Cfa) (PDB:5Z9O)	3.2e-58
151	COG20_CATEGORY	I	Lipid transport and metabolism	0
152	COG20_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)	4.5e-24
152	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
157	COG20_FUNCTION	COG2604	Uncharacterized conserved protein (PDB:5MU5)	0
157	COG20_CATEGORY	S	Function unknown	0
159	COG20_FUNCTION	COG1516	Flagellin-specific chaperone FliS (FliS) (PDB:1ORJ)	3e-55
159	COG20_CATEGORY	N!!!U	Cell motility!!!Intracellular trafficking, secretion, and vesicular transport	0
160	COG20_FUNCTION	COG1345	Flagellar capping protein FliD (FliD) (PDB:5FHY)	2.8e-190
160	COG20_CATEGORY	N	Cell motility	0
161	COG20_FUNCTION	COG1334	Uncharacterized conserved protein, FlaG/YvyC family (FlaG) (PDB:2HC5)	8.3e-26
161	COG20_CATEGORY	R	General function prediction only	0
162	COG20_FUNCTION	COG1344	Flagellin and related hook-associated protein FlgL (FlgL) (PDB:1IO1)	5.5e-30
162	COG20_CATEGORY	N	Cell motility	0
163	COG20_FUNCTION	COG3655	DNA-binding transcriptional regulator, XRE family (YozG) (PDB:3TYR)	2e-16
163	COG20_CATEGORY	K	Transcription	0
165	COG20_FUNCTION	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	5.5e-256
165	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
166	COG20_FUNCTION	COG3682	Transcriptional regulator, CopY/TcrY family (CopY) (PDB:1OKR)	5.7e-30
166	COG20_CATEGORY	K	Transcription	0
167	COG20_FUNCTION	COG0501	Zn-dependent protease with chaperone function (HtpX) (PDB:2YPT)	8.6e-23
167	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
168	COG20_FUNCTION	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	3.8e-121
168	COG20_CATEGORY	T!!!K	Signal transduction mechanisms!!!Transcription	0
169	COG20_FUNCTION	COG0457	Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)	1.7e-140
169	COG20_CATEGORY	R	General function prediction only	0
170	COG20_FUNCTION	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	1.4e-279
170	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
171	COG20_FUNCTION	COG0010	Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)	1.3e-195
171	COG20_CATEGORY	E	Amino acid transport and metabolism	0
171	COG20_PATHWAY	COG0010	Urea cycle	1.3e-195
173	COG20_FUNCTION	COG2370	Hydrogenase/urease accessory protein HupE (HupE)	9.7e-17
173	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
174	COG20_FUNCTION	COG0010	Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)	2e-223
174	COG20_CATEGORY	E	Amino acid transport and metabolism	0
174	COG20_PATHWAY	COG0010	Urea cycle	2e-223
175	COG20_FUNCTION	COG0010	Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)	1.5e-146
175	COG20_CATEGORY	E	Amino acid transport and metabolism	0
175	COG20_PATHWAY	COG0010	Urea cycle	1.5e-146
176	COG20_FUNCTION	COG0642!!!COG0784!!!COG1457	Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!Purine-cytosine permease or related protein (CodB)	0
176	COG20_CATEGORY	T!!!T!!!F	Signal transduction mechanisms!!!Signal transduction mechanisms!!!Nucleotide transport and metabolism	0
177	COG20_FUNCTION	COG1257	Hydroxymethylglutaryl-CoA reductase (HMG1) (PDB:1DQ8)	1.3e-171
177	COG20_CATEGORY	I	Lipid transport and metabolism	0
177	COG20_PATHWAY	COG1257	Isoprenoid biosynthesis	1.3e-171
178	COG20_FUNCTION	COG0657	Acetyl esterase/lipase (Aes) (PDB:1EVQ)	9.1e-101
178	COG20_CATEGORY	I	Lipid transport and metabolism	0
179	COG20_FUNCTION	COG0591	Na+/proline symporter (PutP) (PDB:5NVA)	4e-174
179	COG20_CATEGORY	E	Amino acid transport and metabolism	0
180	COG20_FUNCTION	COG3295	Uncharacterized conserved protein	4.8e-40
180	COG20_CATEGORY	S	Function unknown	0
181	COG20_FUNCTION	COG1966	Carbon starvation protein CstA (peptide/pyruvate transporter) (CstA) (PUBMED:26497384;29358499)	1.8e-265
181	COG20_CATEGORY	C!!!E	Energy production and conversion!!!Amino acid transport and metabolism	0
182	COG20_FUNCTION	COG0701	Uncharacterized membrane protein YraQ, UPF0718 family (YraQ)	6.8e-137
182	COG20_CATEGORY	S	Function unknown	0
183	COG20_FUNCTION	COG1253	Hemolysin-related protein, contains CBS domains, UPF0053 family (TlyC) (PDB:2NQW)	2.5e-167
183	COG20_CATEGORY	R	General function prediction only	0
185	COG20_FUNCTION	COG3794	Plastocyanin (PetE) (PDB:3BQV)	3.4e-62
185	COG20_CATEGORY	C	Energy production and conversion	0
186	COG20_FUNCTION	COG3128	Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX (PiuC) (PDB:3DKQ)	2.1e-87
186	COG20_CATEGORY	R	General function prediction only	0
187	COG20_FUNCTION	COG4774	Outer membrane receptor for monomeric catechols (Fiu)	0
187	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
188	COG20_FUNCTION	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	0
188	COG20_CATEGORY	T	Signal transduction mechanisms	0
189	COG20_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	1.5e-73
189	COG20_CATEGORY	T!!!K	Signal transduction mechanisms!!!Transcription	0
190	COG20_FUNCTION	COG4774	Outer membrane receptor for monomeric catechols (Fiu)	0
190	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
191	COG20_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	6.2e-125
191	COG20_CATEGORY	K	Transcription	0
192	COG20_FUNCTION	COG1917	Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)	1.3e-110
192	COG20_CATEGORY	R	General function prediction only	0
195	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	4e-49
195	COG20_CATEGORY	K	Transcription	0
197	COG20_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)	1.8e-103
197	COG20_CATEGORY	C!!!R	Energy production and conversion!!!General function prediction only	0
198	COG20_FUNCTION	COG2203!!!COG3706	GAF domain (GAF)!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)	1.9e-101
198	COG20_CATEGORY	T!!!T!!!K	Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription	0
199	COG20_FUNCTION	COG3932	Exopolysaccharide synthesis protein ExoD (ExoD) (PUBMED:1987158)	1.5e-49
199	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
200	COG20_FUNCTION	COG3000	Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily (ERG3) (PDB:4ZR0)	7.9e-94
200	COG20_CATEGORY	I	Lipid transport and metabolism	0
201	COG20_FUNCTION	COG0558	Phosphatidylglycerophosphate synthase (PgsA) (PDB:4MND)	2.1e-84
201	COG20_CATEGORY	I	Lipid transport and metabolism	0
201	COG20_PATHWAY	COG0558	Phospholipid biosynthesis	2.1e-84
202	COG20_FUNCTION	COG4136	ABC-type uncharacterized transport system YnjBCD, ATPase component (YnjD)	1.6e-55
202	COG20_CATEGORY	R	General function prediction only	0
203	COG20_FUNCTION	COG4135	ABC-type uncharacterized transport system YnjBCD, permease component (YnjC)	4e-146
